,x1,x2,x3,x4,x5,y
0,3.0,-4.0,1.0,1.0,-1.0,6.199999809265137
1,3.0,-4.0,1.0,1.0,-0.949999988079071,6.0460686683654785
2,3.0,-4.0,1.0,1.0,-0.8999999761581421,5.89813756942749
3,3.0,-4.0,1.0,1.0,-0.8500000238418579,5.756206512451172
4,3.0,-4.0,1.0,1.0,-0.800000011920929,5.620275497436523
5,3.0,-4.0,1.0,1.0499999523162842,-1.0,6.29299259185791
6,3.0,-4.0,1.0,1.0499999523162842,-0.949999988079071,6.138925552368164
7,3.0,-4.0,1.0,1.0499999523162842,-0.8999999761581421,5.99085807800293
8,3.0,-4.0,1.0,1.0499999523162842,-0.8500000238418579,5.848790168762207
9,3.0,-4.0,1.0,1.0499999523162842,-0.800000011920929,5.7127227783203125
10,3.0,-4.0,1.0,1.100000023841858,-1.0,6.387775421142578
11,3.0,-4.0,1.0,1.100000023841858,-0.949999988079071,6.2335686683654785
12,3.0,-4.0,1.0,1.100000023841858,-0.8999999761581421,6.085361957550049
13,3.0,-4.0,1.0,1.100000023841858,-0.8500000238418579,5.943155288696289
14,3.0,-4.0,1.0,1.100000023841858,-0.800000011920929,5.806948184967041
15,3.0,-4.0,1.0,1.1500000953674316,-1.0,6.4842963218688965
16,3.0,-4.0,1.0,1.1500000953674316,-0.949999988079071,6.329948425292969
17,3.0,-4.0,1.0,1.1500000953674316,-0.8999999761581421,6.181600093841553
18,3.0,-4.0,1.0,1.1500000953674316,-0.8500000238418579,6.039251327514648
19,3.0,-4.0,1.0,1.1500000953674316,-0.800000011920929,5.902903079986572
20,3.0,-4.0,1.0,1.2000000476837158,-1.0,6.582511901855469
21,3.0,-4.0,1.0,1.2000000476837158,-0.949999988079071,6.4280195236206055
22,3.0,-4.0,1.0,1.2000000476837158,-0.8999999761581421,6.279527187347412
23,3.0,-4.0,1.0,1.2000000476837158,-0.8500000238418579,6.1370344161987305
24,3.0,-4.0,1.0,1.2000000476837158,-0.800000011920929,6.000541687011719
25,3.0,-4.0,1.0499999523162842,1.0,-1.0,6.1251935958862305
26,3.0,-4.0,1.0499999523162842,1.0,-0.949999988079071,5.971373081207275
27,3.0,-4.0,1.0499999523162842,1.0,-0.8999999761581421,5.823551654815674
28,3.0,-4.0,1.0499999523162842,1.0,-0.8500000238418579,5.6817307472229
29,3.0,-4.0,1.0499999523162842,1.0,-0.800000011920929,5.5459089279174805
30,3.0,-4.0,1.0499999523162842,1.0499999523162842,-1.0,6.212898254394531
31,3.0,-4.0,1.0499999523162842,1.0499999523162842,-0.949999988079071,6.058948993682861
32,3.0,-4.0,1.0499999523162842,1.0499999523162842,-0.8999999761581421,5.910998821258545
33,3.0,-4.0,1.0499999523162842,1.0499999523162842,-0.8500000238418579,5.769049167633057
34,3.0,-4.0,1.0499999523162842,1.0499999523162842,-0.800000011920929,5.633098602294922
35,3.0,-4.0,1.0499999523162842,1.100000023841858,-1.0,6.302290916442871
36,3.0,-4.0,1.0499999523162842,1.100000023841858,-0.949999988079071,6.148210048675537
37,3.0,-4.0,1.0499999523162842,1.100000023841858,-0.8999999761581421,6.000128746032715
38,3.0,-4.0,1.0499999523162842,1.100000023841858,-0.8500000238418579,5.8580474853515625
39,3.0,-4.0,1.0499999523162842,1.100000023841858,-0.800000011920929,5.72196626663208
40,3.0,-4.0,1.0499999523162842,1.1500000953674316,-1.0,6.39332389831543
41,3.0,-4.0,1.0499999523162842,1.1500000953674316,-0.949999988079071,6.239109516143799
42,3.0,-4.0,1.0499999523162842,1.1500000953674316,-0.8999999761581421,6.09089469909668
43,3.0,-4.0,1.0499999523162842,1.1500000953674316,-0.8500000238418579,5.9486799240112305
44,3.0,-4.0,1.0499999523162842,1.1500000953674316,-0.800000011920929,5.812464714050293
