,sigma,theta,f
0,1.9959574283414614,1.3430604293896136,0.1593817401778766
1,1.208199453512542,1.2541843084194189,0.192654917098352
2,1.3764826573686357,2.1060817014062407,0.08990602966761148
3,1.723990144116455,1.777031156262961,0.13603817974536514
4,2.501450287854371,2.3632180371763423,0.10207216153927548
5,1.0184727084118568,1.7014873059763493,0.09702963488223922
6,2.094721235843215,1.3326445689063051,0.15555917887226267
7,1.530171714379869,2.372455372515545,0.07837370983561648
8,2.834215430400122,2.947038544221341,0.0819780675035326
9,2.8894168700483402,2.2536124557246096,0.10185985126520611
10,1.1738145047038904,2.326549274419661,0.047670531870087185
11,2.0090681412147275,2.1642243757647854,0.11115612041657155
12,1.4596115449736524,1.3041284044815098,0.18336824727645631
13,2.4635017963339636,2.7649779490124957,0.08626015261322426
14,2.2753433708189004,2.8723517000671306,0.07903431045858636
15,1.411525268607779,1.6594454656288133,0.14161063080173442
16,2.198032349394855,1.39184108377607,0.14852740882465626
17,1.6942521881975379,2.3686228019644493,0.08861713444403005
18,2.352522145830717,2.258215560253319,0.1069768735680066
19,2.51801863313605,1.1816717944623794,0.14191518169997355
20,1.09363039265852,1.4762187393749968,0.14668522405544407
21,1.5578092760184679,2.3677505886226955,0.08067694357671586
22,2.6744002343766566,2.157139595586767,0.10774845203424517
23,2.2917974532918333,1.8920379224174082,0.12380377818420515
24,1.9837793390415133,2.5778269552111652,0.08644640330518177
25,2.67014507232155,1.5861972478776682,0.1252406116827032
26,2.5267388344045063,2.641694496738279,0.09141016443226263
27,2.528774576485699,2.9498411485408904,0.07989465712939825
28,1.7807048819649265,2.289937490006254,0.0979977811382515
29,2.04718208690345,1.4387052585033402,0.1522322347541061
30,1.910478810166198,1.0357640229893472,0.18027800355623985
31,2.1345079472333146,2.176882937340327,0.11111116555205883
32,2.978336090831016,2.0099153775933347,0.10667043526211031
33,1.9234518912862029,2.881757855372012,0.06751574289573696
34,1.2887318651494113,1.6065758169583373,0.14232469073568824
35,2.7483376853116273,2.1738101310510216,0.10616728004945894
36,2.0371875072552834,1.8854131161895766,0.12760929572299842
37,2.8386883017485545,2.19305939678977,0.10427686717127224
38,1.8128014847963603,2.04345288219622,0.11658425042363293
39,2.6110302501413436,1.8249463533040537,0.11967924637540948
40,1.362622904930868,2.3402303625406544,0.06699352972679672
41,2.47860201366603,1.994629421307712,0.11643335656712415
42,1.4353556938675187,1.1188528454262654,0.2051205159143697
43,1.7282624361652628,2.9465346554425342,0.053965149133227364
44,2.4089239274787957,1.1578396463020684,0.1475439818250353
45,1.69572712838638,1.7130846996517928,0.14123379816887097
46,1.4588721478427775,2.5307580694388374,0.06073369027823135
47,1.6326647243722257,1.115859931403336,0.1934550025965822
48,2.732928612187872,2.955450064401867,0.08134552454533367
49,2.1996747977869973,1.143738885151168,0.1584325523639035
50,2.754358732418215,2.5821033227811494,0.09333691844056624
51,1.4042745768277174,1.1861422645298532,0.19885302861104964
52,1.2160604942787787,2.0719314790958174,0.07683976918954014
53,2.0149646967930845,2.9696219372070187,0.06683293592363909
54,2.5810416565312604,2.0618252536613757,0.11234285102095272
55,2.287901933846241,2.0107644081109526,0.1185075674316269
56,1.3206254384092615,1.1701231082991281,0.20401233345471884
57,1.569890268065264,1.8372974982138213,0.12812021938338464
58,2.45386569953465,2.6118133677202646,0.09226950576998454
59,2.4434652265650474,1.4082538844470895,0.1382852631148561
60,2.61252085620593,2.2451970707564426,0.10555351423939409
61,1.8657421178192761,1.7206599816495591,0.1397556509858414
62,2.9168350576777007,1.8057210155907513,0.11292169700815115
63,1.9986595110165013,1.760547042393028,0.1354197773227666
64,1.6973048633351522,2.562256203193582,0.07521305311422506
65,1.784087200608227,1.4225268144650316,0.16272034906422952
66,1.971983311425274,2.1013875397486794,0.11466358692447454
67,2.0593485919622756,1.9893290266340762,0.121492172168225
68,2.328529657443876,1.3629776936092006,0.1443540896555711
69,1.100122882114533,2.423384452121626,0.032045710207495304
70,2.5140602811950643,2.5110275503237824,0.09636308937980718
71,1.3975520171207214,1.9109999184501616,0.11208030848367899
72,1.166061538041879,1.9832070179383539,0.08054926379693633
73,1.539805082139379,1.3282745156600184,0.17859128558143805
74,1.2214469724294021,1.4262512967000047,0.1651823163987824
75,1.7033500807052053,2.958893987730727,0.05180345988693817
76,2.6763668622420704,1.6416608692274528,0.12349885822058844
77,2.5743724806624835,1.9818129720020423,0.11522614395236123
78,2.69631827677509,2.163029423776725,0.10724911652823267
79,1.4987212500995812,2.8305715657341404,0.04473205573708231
80,2.4642061123434225,2.804469713005678,0.08471826571507884
81,1.2482504834139523,1.774777484035996,0.11631466445715662
82,1.4644833505316386,1.8415298983406694,0.12355801847779944
83,2.0462228145067707,2.3162863682829897,0.1027326646175312
84,1.9719476861787486,2.6934769608583897,0.07959553792131037
85,2.184678803804638,2.177698999423594,0.11111189015972593
86,1.862576976219675,2.1734170915626163,0.10842329510613531
87,1.236619226421159,1.2109456130126208,0.1997329328395679
88,2.3018909691822804,2.763012819465316,0.0843266604640179
89,1.5640239484140188,1.0902410436417058,0.20005622202541112
90,1.2330437951874615,2.374750593464635,0.05063972372480034
